tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,gbh5O-4ndlsW45boW6tfTxEAkZDdNRmzLXGzorq8q8djDeQ,신상공원,600,413,379,True,False,False,False
GRANDMASTER,mfJMt8ugqklbkPwh1RLBJ_8yWpUtWp1EgUG6AmfaV9df5go,뽀송뽀숑비숑,679,218,172,False,False,False,True
GRANDMASTER,OkoO46RkSBtopTlY27u1QyvR4qIB51zUddI2Lisup8cFVPKPtU8ztaQBOA,mobanche,497,508,452,False,False,True,False
GRANDMASTER,G0acuMXjXRnXvqhjg7htahtCphAOi01QIvsjSJQNBwQub6_BZROu8UrEwg,   Lay   waste,460,402,372,False,False,True,True
GRANDMASTER,A0wBXV9uQCWm741NfwU61lSTiHKPs7GuZiE7O1lkX484-us,진쏘킴,577,543,493,False,False,False,False
GRANDMASTER,gWO1T7A_Ua5n_xkP8QQtrT2F2s5aAUPBDGTBgIYUSMYRyw,BJ영만,553,771,738,False,False,False,True
GRANDMASTER,vylofU9bRmDyuO2-uhzaFPNv833cfZQn7z72FXHHncMcdsjalJoUNhxCsg,Perfect is sh11t,415,948,906,False,False,True,False
GRANDMASTER,DOt1crp7aH4A5Vp4hBM-di81eeyLcv08bOTvdjDptfZWCroOAJGcbBBTSA,zhenli,425,192,151,False,False,True,False
GRANDMASTER,d27SKbFCB7tj4aGzB-daHLGwzH9XqrUjY_relAJj2Mbqv4KrQ11LE-0bIA,내가 승현인데용,500,161,133,False,False,False,True
GRANDMASTER,CY762P8oghCySNjTTtiol7wph7ieoCScxFqthNqUA-5A_s8,쿠자니,694,355,317,False,False,False,False
GRANDMASTER,3l8jksE0wM0E2iD-W1TpShAMadRuFg3wvRjwJL_k-Ggl9zrWrJYYL1pZYw,항상행복하고싶어,529,344,263,True,False,False,True
GRANDMASTER,tJkSnpYAgzJHIBy0yK9qalHv02TsRnTjOR4ktgNAkofKstE,승지부기,603,218,172,False,False,False,True
GRANDMASTER,_0FPxmQpb4qnAUy7mCZpyPrwzdn0xQj_hCBmSAhuF7M8Mik,Envyyzz,591,166,128,False,False,True,False
GRANDMASTER,rzpgPv6LAaX1_ImYnIYT16mNZ6QgDuVdOQawDL3r0hJ2U48,기 정 fan,592,358,320,True,False,False,False
GRANDMASTER,KYwsCTvT-UNAmx1hqdHjUxOucd0b8ZQx42wZDY6I_UwXgtX2CPBNSWguHA,그래서니티어뭐임,436,163,134,False,False,False,False
GRANDMASTER,6819t8rUmNaFVvBlF-B56qIXqf1mJujFjwzgM_DG5VbWQQs,depart,462,202,174,False,False,False,False
GRANDMASTER,81H5rZyKWu6fyPBZtnpQHcfY4ZeuH6Y5LM1jDiL14a0iRs4,가혹한현실,674,554,518,False,False,True,False
GRANDMASTER,82fPhrDlIuaYn8jlVILg8wVL5136Y2_RlZQQYKl7k3ARMZY,BRO Jeong Hoon,731,259,205,False,False,True,False
GRANDMASTER,GWmNyMq-IIvYt0QYIYVK_25P7Mx0P8cTBJiYKcAa16_ZjyUyJ2XWyRm0cQ,1128321,682,1273,1197,False,False,True,False
GRANDMASTER,gUvHusO3gAQXF_T5uZPTSP0qmGsGsmvNoPhyCXQqZKXi8oI,매일매일바쁜하루,418,595,571,False,False,False,False
GRANDMASTER,Nry3IebZdVfWUshoNW-ratujoUE5nSzPYjI1lONRSyTrJWs,OOO0OOO0OO,597,881,831,False,False,True,False
GRANDMASTER,EO4iIQhjLxbF3W3uiz9YJBPFR6cvpp7wFk9PD595XoY4HvPFafMcLv8WEw,ningningbaby,408,217,171,False,False,True,False
GRANDMASTER,RqNPS4fEcCiShKbEveZeXbA4s4tsMncoxB-wWw3SXcmtjFI,희포리,625,451,403,False,False,False,True
GRANDMASTER,xIVewLTz-dwsECAAnZ3AlO3iTBsCCaty-MY0_3iXcnuV3xQewK9YbakbZQ,징징이는징징징징,681,457,389,True,False,False,False
GRANDMASTER,GxgBZYolDh9vEdNx987NBldyVzlsbTwR_7zlaXl56dV2dVg,이니쉬,434,454,442,False,False,True,True
GRANDMASTER,5LwAT0VA4LjfLqJgePJNVKg8YoJVg1sbXHF7ucYAKL79lec,Square0ne,427,872,835,False,False,True,True
GRANDMASTER,K5TvNIlcUaMcb9s1UONT9LExo9jq9E6TwcS92cER2uLOcEQ,EDBDE,538,289,253,False,False,False,False
GRANDMASTER,EQcOTJNK67Q2WnuIQRlKEgXffdj6fsaBIjBw28F3pz7nUw,Iove doeui,570,577,536,False,False,False,False
GRANDMASTER,NZjfcUfGutXZLg9pJZqWTc_EwPtE6C2cl9GlmjfMzBY1bzY,끝나지 않은 싸움,517,668,618,False,False,False,False
GRANDMASTER,gQ3tl5EpipZBrsteWvKrcHllK2nzxNA6qg8So6E788g-Bg,Pulsive,421,483,430,False,False,True,False
GRANDMASTER,kX_RsLoJ1QyaV7TXvkPI9tVmXMsTgF2hZh2AZ3ehHaI2NEw,셋하면뛰어낙하,434,227,176,False,False,True,False
GRANDMASTER,CIeq5MDs3Q96ex0qdiP_P7zQg-RHW44PZeR-pWpwHZDhXsU,맞라인탈주시킴,452,110,76,False,False,True,True
GRANDMASTER,g2ZxXAg8zLMNVRLR4SH7XV4lRpgjNdYznEXGJdR1JC8_j9s,오늘은 뛰지말자,447,937,824,False,False,True,False
